x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
11.003,8.378,0.25,0.25,8.378,11.003,0
10.938,8.383,0.25,0.25,8.378,10.933,0.00707056
10.872,8.387,0.25,0.25,8.378,10.863,0.0127277
10.811,8.394,0.25,0.25,8.388,10.803,0.00999928
10.745,8.398,0.25,0.25,8.388,10.743,0.0101973
10.689,8.408,0.25,0.25,8.398,10.683,0.0116611
10.595,8.388,0.249,0.24,8.378,10.593,0.0136009
10.578,8.402,0.249,0.24,8.398,10.573,0.0110453
10.513,8.404,0.249,0.24,8.398,10.503,0.0147303
10.457,8.414,0.249,0.24,8.408,10.453,0.0115322
10.399,8.421,0.249,0.24,8.418,10.393,0.0112246
10.326,8.416,0.249,0.24,8.408,10.323,0.01241
10.259,8.416,0.249,0.24,8.408,10.253,0.0134537
10.194,8.416,0.248,0.24,8.408,10.193,0.0113581
10.161,8.415,0.248,0.24,8.408,10.153,0.0133043
10.087,8.408,0.248,0.24,8.398,10.083,0.0134158
10.046,8.428,0.248,0.24,8.428,10.043,0.00854376
9.966,8.414,0.248,0.24,8.408,9.963,0.0104399
9.918,8.428,0.248,0.24,8.428,9.913,0.00943404
9.863,8.434,0.248,0.24,8.428,9.853,0.0141414
9.801,8.435,0.248,0.24,8.428,9.793,0.0133038
9.746,8.414,0.247,0.24,8.408,9.743,0.00969517
9.706,8.433,0.247,0.24,8.428,9.703,0.00911006
9.656,8.443,0.247,0.24,8.438,9.653,0.00911006
9.613,8.459,0.247,0.24,8.458,9.603,0.0122468
9.561,8.467,0.247,0.24,8.458,9.553,0.0139279
9.527,8.49,0.247,0.24,8.488,9.523,0.00830645
9.494,8.515,0.247,0.24,8.508,9.493,0.00994989
9.508,8.554,0.247,0.24,8.548,9.503,0.0104879
9.552,8.648,0.247,0.24,8.638,9.543,0.0151652
9.578,8.726,0.248,0.24,8.718,9.573,0.012369
9.616,8.816,0.248,0.24,8.808,9.613,0.0117044
9.644,8.897,0.248,0.24,8.888,9.643,0.0120829
9.659,8.967,0.248,0.24,8.958,9.653,0.0134537
11.096,8.459,0.185,0.18,8.458,11.093,0.00591563
11.002,8.443,0.185,0.18,8.438,10.993,0.011445
10.919,8.433,0.185,0.18,8.428,10.913,0.00927288
10.87,8.45,0.185,0.18,8.448,10.863,0.0088317
10.801,8.451,0.185,0.18,8.448,10.793,0.0098991
10.728,8.448,0.185,0.18,8.438,10.723,0.0122465
10.671,8.458,0.185,0.18,8.448,10.663,0.0137476
10.624,8.447,0.185,0.18,8.438,10.623,0.010343
10.564,8.454,0.186,0.18,8.448,10.563,0.0085443
10.494,8.452,0.186,0.18,8.448,10.493,0.00728
10.432,8.456,0.186,0.18,8.448,10.423,0.0134537
10.379,8.467,0.186,0.18,8.458,10.373,0.012369
10.321,8.474,0.186,0.18,8.468,10.313,0.0116613
10.248,8.468,0.186,0.18,8.468,10.243,0.00781032
10.189,8.446,0.186,0.18,8.438,10.183,0.0116613
10.144,8.463,0.186,0.18,8.458,10.143,0.00787401
10.081,8.463,0.186,0.18,8.458,10.073,0.0111807
10.019,8.465,0.186,0.18,8.458,10.013,0.0110003
9.954,8.464,0.186,0.18,8.458,9.953,0.00854374
9.9,8.472,0.186,0.18,8.468,9.893,0.0100491
9.848,8.481,0.186,0.18,8.478,9.843,0.00836585
9.791,8.486,0.186,0.18,8.478,9.783,0.0128061
9.748,8.475,0.186,0.18,8.468,9.743,0.0104881
9.704,8.491,0.186,0.18,8.488,9.703,0.0067825
9.664,8.509,0.187,0.18,8.508,9.663,0.00714127
9.618,8.522,0.187,0.18,8.518,9.613,0.00948677
9.567,8.531,0.187,0.18,8.528,9.563,0.00860228
9.506,8.53,0.187,0.18,8.528,9.503,0.00787371
9.432,8.517,0.187,0.18,8.508,9.423,0.0145256
9.405,8.52,0.187,0.18,8.518,9.403,0.00754976
9.356,8.529,0.187,0.18,8.528,9.353,0.00768093
9.308,8.538,0.187,0.18,8.528,9.303,0.0131908
9.241,8.531,0.187,0.18,8.528,9.233,0.0110457
9.191,8.538,0.187,0.18,8.528,9.183,0.0145944
9.163,8.565,0.187,0.18,8.558,9.153,0.0140709
9.14,8.598,0.187,0.18,8.588,9.133,0.0140707
9.116,8.603,0.187,0.18,8.598,9.113,0.00911006
9.141,8.681,0.187,0.18,8.678,9.133,0.0110448
9.131,8.726,0.187,0.18,8.718,9.123,0.0133034
9.13,8.78,0.187,0.18,8.778,9.123,0.0100995
9.141,8.846,0.187,0.18,8.838,9.133,0.0133034
9.153,8.914,0.187,0.18,8.908,9.143,0.0136007
9.161,8.978,0.187,0.18,8.968,9.153,0.0145942
9.213,9.058,0.186,0.18,9.048,9.213,0.0116613
9.216,9.118,0.186,0.18,9.108,9.213,0.0120416
9.241,9.201,0.186,0.18,9.198,9.233,0.0104407
9.249,9.267,0.186,0.18,9.258,9.243,0.012369
10.977,8.379,0.097,0.09,8.378,10.973,0.00812383
10.913,8.385,0.097,0.09,8.378,10.903,0.0140714
10.873,8.381,0.098,0.09,8.378,10.863,0.013153
10.803,8.382,0.098,0.09,8.378,10.803,0.00894414
