x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
11.003,8.378,0.25,0.25,8.377,11.002,0.00141479
10.938,8.383,0.25,0.25,8.383,10.937,0.000999451
10.872,8.387,0.25,0.25,8.386,10.871,0.00141344
10.811,8.394,0.25,0.25,8.393,10.81,0.00141344
10.745,8.398,0.25,0.25,8.397,10.744,0.00141344
10.689,8.408,0.25,0.25,8.407,10.688,0.00141344
10.595,8.388,0.249,0.248,8.387,10.595,0.00141383
10.578,8.402,0.249,0.248,8.402,10.577,0.00141383
10.513,8.404,0.249,0.248,8.404,10.512,0.00141383
10.457,8.414,0.249,0.248,8.413,10.456,0.00173142
10.399,8.421,0.249,0.248,8.42,10.398,0.00173142
10.326,8.416,0.249,0.248,8.416,10.325,0.0014145
10.259,8.416,0.249,0.248,8.416,10.258,0.00141383
10.194,8.416,0.248,0.247,8.416,10.193,0.0014145
10.161,8.415,0.248,0.247,8.414,10.16,0.00173197
10.087,8.408,0.248,0.247,8.407,10.086,0.00173142
10.046,8.428,0.248,0.247,8.428,10.045,0.00141383
9.966,8.414,0.248,0.247,8.413,9.965,0.00173142
9.918,8.428,0.248,0.247,8.428,9.917,0.0014145
9.863,8.434,0.248,0.247,8.433,9.862,0.00173142
9.801,8.435,0.248,0.247,8.435,9.8,0.00141383
9.746,8.414,0.247,0.246,8.413,9.746,0.00141382
9.706,8.433,0.247,0.246,8.432,9.706,0.00141382
9.656,8.443,0.247,0.246,8.442,9.655,0.00173141
9.613,8.459,0.247,0.246,8.458,9.612,0.00173141
9.561,8.467,0.247,0.246,8.466,9.56,0.00173141
9.527,8.49,0.247,0.246,8.489,9.527,0.00141382
9.494,8.515,0.247,0.246,8.515,9.494,0.000999987
9.508,8.554,0.247,0.246,8.553,9.508,0.00141382
9.552,8.648,0.247,0.246,8.647,9.551,0.00173141
9.578,8.726,0.248,0.247,8.725,9.577,0.00173142
9.616,8.816,0.248,0.247,8.815,9.615,0.00173142
9.644,8.897,0.248,0.247,8.897,9.643,0.00141383
9.659,8.967,0.248,0.247,8.966,9.659,0.00141383
11.096,8.459,0.185,0.185,8.458,11.095,0.00141344
11.002,8.443,0.185,0.185,8.442,11.001,0.00141344
10.919,8.433,0.185,0.185,8.432,10.918,0.00141344
10.87,8.45,0.185,0.185,8.449,10.869,0.00141344
10.801,8.451,0.185,0.185,8.45,10.8,0.00141411
10.728,8.448,0.185,0.185,8.447,10.727,0.00141344
10.671,8.458,0.185,0.185,8.457,10.67,0.00141344
10.624,8.447,0.185,0.185,8.446,10.623,0.00141344
10.564,8.454,0.186,0.186,8.454,10.563,0.000999451
10.494,8.452,0.186,0.186,8.451,10.494,0.000999451
10.432,8.456,0.186,0.186,8.456,10.431,0.000999451
10.379,8.467,0.186,0.186,8.466,10.378,0.00141344
10.321,8.474,0.186,0.186,8.473,10.32,0.00141344
10.248,8.468,0.186,0.186,8.468,10.247,0.000999451
10.189,8.446,0.186,0.186,8.445,10.188,0.00141344
10.144,8.463,0.186,0.186,8.463,10.143,0.000999451
10.081,8.463,0.186,0.186,8.463,10.081,0
10.019,8.465,0.186,0.186,8.464,10.018,0.00141344
9.954,8.464,0.186,0.186,8.463,9.954,0.000999451
9.9,8.472,0.186,0.186,8.471,9.899,0.00141344
9.848,8.481,0.186,0.186,8.48,9.847,0.00141344
9.791,8.486,0.186,0.186,8.485,9.791,0.000999451
9.748,8.475,0.186,0.186,8.475,9.747,0.000999451
9.704,8.491,0.186,0.186,8.49,9.704,0.000999451
9.664,8.509,0.187,0.187,8.508,9.663,0.00141344
9.618,8.522,0.187,0.187,8.522,9.617,0.000999451
9.567,8.531,0.187,0.187,8.53,9.567,0.000999451
9.506,8.53,0.187,0.187,8.529,9.505,0.00141344
9.432,8.517,0.187,0.187,8.516,9.431,0.00141411
9.405,8.52,0.187,0.187,8.52,9.404,0.000999451
9.356,8.529,0.187,0.187,8.529,9.355,0.000999451
9.308,8.538,0.187,0.187,8.537,9.307,0.00141344
9.241,8.531,0.187,0.187,8.53,9.24,0.00141344
9.191,8.538,0.187,0.187,8.537,9.19,0.00141344
9.163,8.565,0.187,0.187,8.564,9.162,0.00141344
9.14,8.598,0.187,0.187,8.597,9.14,0.000999451
9.116,8.603,0.187,0.187,8.602,9.115,0.00141344
9.141,8.681,0.187,0.187,8.68,9.14,0.00141344
9.131,8.726,0.187,0.187,8.725,9.13,0.00141344
9.13,8.78,0.187,0.187,8.779,9.129,0.00141344
9.141,8.846,0.187,0.187,8.845,9.14,0.00141344
9.153,8.914,0.187,0.187,8.913,9.152,0.00141344
9.161,8.978,0.187,0.187,8.977,9.16,0.00141411
9.213,9.058,0.186,0.186,9.057,9.213,0.000999451
9.216,9.118,0.186,0.186,9.117,9.215,0.00141344
9.241,9.201,0.186,0.186,9.2,9.24,0.00141411
